value,transcription,alt_transcription,IPA,Comment
ã,Phonemic,NA,ã,
k,Phonemic,NA,k,
ɨ,Phonemic,NA,ɨ,
t,Phonemic,NA,t,
i,Phonemic,NA,i,
ɲ,Phonemic,NA,ɲ,
o,Phonemic,NA,ɔ,https://omniglot.com/writing/kashibo.htm
ṣ̌,Phonemic,NA,ʂ,http://etnolinguistica.wdfiles.com/local--files/tese%3Azariquiey-2011/zariquiey_biondi_2011.pdf "woman" IDS ṣ̌ano xánu (ʂanu)
a,Phonemic,NA,a,
m,Phonemic,NA,m,
p,Phonemic,NA,p,
n,Phonemic,NA,n,
β,Phonemic,NA,β,
u,Phonemic,NA,u,
š,Phonemic,NA,ʃ,
ĩ,Phonemic,NA,ĩ,
ʔ,Phonemic,NA,ʔ,
s,Phonemic,NA,s,
r,Phonemic,NA,ɾ,https://omniglot.com/writing/kashibo.htm
ɨ̃,Phonemic,NA,ɨ̃,
c̷,Phonemic,NA,ts,
ũ,Phonemic,NA,ũ,
č,Phonemic,NA,tʃ,
ʷ,Phonemic,NA,ʷ,
õ,Phonemic,NA,õ,
ṣ̌,Phonemic,NA,ʃ,
h,Phonemic,NA,h,
e,Phonemic,NA,e,
b,Phonemic,NA,b,
ẽ,Phonemic,NA,ẽ,
