value,transcription,alt_transcription,IPA,Comment
t,Phonemic,NA,t,
e,Phonemic,NA,e,
r,Phonemic,NA,ɺ,https://en.wikipedia.org/wiki/Cavine%C3%B1a_language
y,Phonemic,NA,j,
a,Phonemic,NA,a,
i,Phonemic,NA,i,
d,Phonemic,NA,d,
o,Phonemic,NA,ʊ,https://en.wikipedia.org/wiki/Cavine%C3%B1a_language
k,Phonemic,NA,k,
b,Phonemic,NA,b,
h,Phonemic,NA,h,
ʷ,Phonemic,NA,ʷ,
w,Phonemic,NA,w,
c̷,Phonemic,NA,ts,
p,Phonemic,NA,p,
ʸ,Phonemic,NA,ʸ,
s,Phonemic,NA,s,
n,Phonemic,NA,n,
č,Phonemic,NA,t͡ɕ,https://en.wikipedia.org/wiki/Cavine%C3%B1a_language
m,Phonemic,NA,m,
š,Phonemic,NA,ɕ,
ʔ,Phonemic,NA,ʔ,
u,Phonemic,NA,u,
l,Phonemic,NA,l,
ɲ,Phonemic,NA,ɲ,
