value,transcription,alt_transcription,IPA,Comment
b,CyrillTrans,Phonemic,b,
e,CyrillTrans,Phonemic,e,
t,CyrillTrans,Phonemic,t,
ʼ,CyrillTrans,Phonemic,ʼ,
ʷ,CyrillTrans,Phonemic,v,
ā,CyrillTrans,Phonemic,aː,
l,CyrillTrans,Phonemic,l,
a,CyrillTrans,Phonemic,a,
i,CyrillTrans,Phonemic,i,
s̄,CyrillTrans,Phonemic,sː,
u,CyrillTrans,Phonemic,u,
h,CyrillTrans,Phonemic,h,
q,CyrillTrans,Phonemic,q, къ https://omniglot.com/writing/chamalal.htm
o,CyrillTrans,Phonemic,o,
d,CyrillTrans,Phonemic,d,
ƛ,CyrillTrans,Phonemic,kɬ,
m,CyrillTrans,Phonemic,m,
ɬ,CyrillTrans,Phonemic,ɬ,
x̄,CyrillTrans,Phonemic,χ ,https://omniglot.com/writing/chamalal.htm
ɣ,CyrillTrans,Phonemic,ɣ,
r,CyrillTrans,Phonemic,r,
ī,CyrillTrans,Phonemic,iː,
y,CyrillTrans,Phonemic,j,
x̌,CyrillTrans,Phonemic,x,https://omniglot.com/writing/chamalal.htm
č,CyrillTrans,Phonemic,tʃ,
n,CyrillTrans,Phonemic,n,
c,CyrillTrans,Phonemic,ts,
ƛ̄,CyrillTrans,Phonemic,kɬː,
z,CyrillTrans,Phonemic,z,
w,CyrillTrans,Phonemic,v,
x,CyrillTrans,Phonemic,χ,
s,CyrillTrans,Phonemic,s,
ⁿ,CyrillTrans,Phonemic,ⁿ,
š,CyrillTrans,Phonemic,ʃ,
ō,CyrillTrans,Phonemic,oː,
k̄,CyrillTrans,Phonemic,kː,
ž,CyrillTrans,Phonemic,ʒ,
ʔ,CyrillTrans,Phonemic,ʔ,
k,CyrillTrans,Phonemic,k,
ē,CyrillTrans,Phonemic,eː,
g,CyrillTrans,Phonemic,g,
ǯ,CyrillTrans,Phonemic,dʒ,
ū,CyrillTrans,Phonemic,uː,
š̄,CyrillTrans,Phonemic,ʃː,
p,CyrillTrans,Phonemic,p,
j,CyrillTrans,Phonemic,j,
č̄,CyrillTrans,Phonemic,tʃː,
ʲ,CyrillTrans,Phonemic,ʲ,
ħ,CyrillTrans,Phonemic,ħ,
f,CyrillTrans,Phonemic,f,
ʕ,CyrillTrans,Phonemic,ʕ,
с̌,CyrillTrans,Phonemic,tʃ,
c̄,CyrillTrans,Phonemic,tsː,
ā,CyrillTrans,Phonemic,aː,
ū,CyrillTrans,Phonemic,uː,
