value,transcription,alt_transcription,IPA,Comment
b,CyrillTrans,Phonemic,b,
i,CyrillTrans,Phonemic,i,
q,CyrillTrans,Phonemic,q,
ʼ,CyrillTrans,Phonemic,ʼ,
ʷ,CyrillTrans,Phonemic,v,
a,CyrillTrans,Phonemic,a,
l,CyrillTrans,Phonemic,l,
u,CyrillTrans,Phonemic,u,
ƛ,CyrillTrans,Phonemic,kɬ,лІ and кь https://omniglot.com/writing/godoberi.htm
w,CyrillTrans,Phonemic,v,
y,CyrillTrans,Phonemic,j,
d,CyrillTrans,Phonemic,d,
ʕ,CyrillTrans,Phonemic,ʕ,
n,CyrillTrans,Phonemic,n,
x̌,CyrillTrans,Phonemic,ç,хь https://omniglot.com/writing/godoberi.htm
ⁿ,CyrillTrans,Phonemic,ⁿ,
h,CyrillTrans,Phonemic,h,
s,CyrillTrans,Phonemic,s,
r,CyrillTrans,Phonemic,r,
x,CyrillTrans,Phonemic,χ,
e,CyrillTrans,Phonemic,e,
ʲ,CyrillTrans,Phonemic,ʲ,
z,CyrillTrans,Phonemic,z,
m,CyrillTrans,Phonemic,m,
k,CyrillTrans,Phonemic,k,
ɬ,CyrillTrans,Phonemic,ɬ,
t,CyrillTrans,Phonemic,t,
c̄,CyrillTrans,Phonemic,tsː,
š,CyrillTrans,Phonemic,ʃ,
g,CyrillTrans,Phonemic,g,
s̄,CyrillTrans,Phonemic,sː,
o,CyrillTrans,Phonemic,o,
ʔ,CyrillTrans,Phonemic,ʔ,
č,CyrillTrans,Phonemic,tʃ,
ž,CyrillTrans,Phonemic,ʒ,
p,CyrillTrans,Phonemic,p,
ɣ,CyrillTrans,Phonemic,ʁ,гъ https://omniglot.com/writing/godoberi.htm
ƛ̄,CyrillTrans,Phonemic,kɬ,кь https://omniglot.com/writing/godoberi.htm
c,CyrillTrans,Phonemic,ts,
š̄,CyrillTrans,Phonemic,ʃː,
x̄,CyrillTrans,Phonemic,χː,
č̄,CyrillTrans,Phonemic,tʃː,
ħ,CyrillTrans,Phonemic,ħ,
k̄,CyrillTrans,Phonemic,kː,
t̄,CyrillTrans,Phonemic,tː,
j,CyrillTrans,Phonemic,ʲ,standalone ь https://omniglot.com/writing/godoberi.htm
ɬ̄,CyrillTrans,Phonemic,ɬː,
f,CyrillTrans,Phonemic,f,
ī,CyrillTrans,Phonemic,iː,
ē,CyrillTrans,Phonemic,eː,
ī,CyrillTrans,Phonemic,iː,
’,CyrillTrans,Phonemic,’,
