value,transcription,alt_transcription,IPA,Comment
g,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
ɨ,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
ǯ,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
ě,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
ħ,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
v,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
ä,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
d,CyrillTrans,Phonemic,,
ˁ,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
ӡ̌,CyrillTrans,Phonemic,,
ü,CyrillTrans,Phonemic,,
ö,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
ʒ,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
ě,CyrillTrans,Phonemic,,
ǧ,CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
с,CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
ā,CyrillTrans,Phonemic,,
с̌,CyrillTrans,Phonemic,,
ä,CyrillTrans,Phonemic,,
?,CyrillTrans,Phonemic,,
č̄,CyrillTrans,Phonemic,,
