value,transcription,alt_transcription,IPA,Comment
x,Phonemic,NA,,
o,Phonemic,NA,,
t,Phonemic,NA,,
 ,Phonemic,NA,,
p,Phonemic,NA,,
y,Phonemic,NA,,
a,Phonemic,NA,,
ŋ,Phonemic,NA,,
k,Phonemic,NA,,
w,Phonemic,NA,,
ʸ,Phonemic,NA,,
e,Phonemic,NA,,
s,Phonemic,NA,,
u,Phonemic,NA,,
l,Phonemic,NA,,
ɨ,Phonemic,NA,,
r̃,Phonemic,NA,,
m,Phonemic,NA,,
n,Phonemic,NA,,
i,Phonemic,NA,,
ɣ,Phonemic,NA,,
~,Phonemic,NA,,
,Phonemic,NA,,
-,Phonemic,NA,,
r,Phonemic,NA,,
š,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
