value,transcription,alt_transcription,IPA,Comment
b,Phonemic,NA,b,
i,Phonemic,NA,i,
k,Phonemic,NA,k,
g,Phonemic,NA,g,
s,Phonemic,NA,s,
a,Phonemic,NA,a,
n,Phonemic,NA,n,
r,Phonemic,NA,r,
š,Phonemic,NA,ʃ,
ɨ,Phonemic,NA,ɨ,
o,Phonemic,NA,o,
ḳ,Phonemic,NA,k,
d,Phonemic,NA,d,
ã,Phonemic,NA,ã,
y,Phonemic,NA,j,
ũ,Phonemic,NA,ũ,
u,Phonemic,NA,u,
h,Phonemic,NA,h,
ĩ,Phonemic,NA,ĩ,
t,Phonemic,NA,t,
w,Phonemic,NA,w,
e,Phonemic,NA,e,
ā,Phonemic,NA,aː,
ī,Phonemic,NA,iː,
m,Phonemic,NA,m,
ū,Phonemic,NA,uː,
õ,Phonemic,NA,õ,
l,Phonemic,NA,l,
č,Phonemic,NA,tʃ,
ē,Phonemic,NA,eː,
ō,Phonemic,NA,oː,
ɲ,Phonemic,NA,ɲ,
ɨ̃,Phonemic,NA,ɨ̃,
ʔ,Phonemic,NA,ʔ,
ḍ,Phonemic,NA,d,
ẽ,Phonemic,NA,ḍ,
ā́,Phonemic,NA,aː,
j,Phonemic,NA,j,
