value,transcription,alt_transcription,IPA,Comment
ǰ,Phonemic,NA,,
e,Phonemic,NA,e,
b,Phonemic,NA,b,
o,Phonemic,NA,o,
ɨ,Phonemic,NA,ɨ,
u,Phonemic,NA,u,
a,Phonemic,NA,a,
p,Phonemic,NA,p,
k,Phonemic,NA,k,
r,Phonemic,NA,ɾ,https://phoible.org/inventories/view/2077
ẽ,Phonemic,NA,ẽ,
t,Phonemic,NA,t,
ɲ,Phonemic,NA,ɲ,
m,Phonemic,NA,m,
ĩ,Phonemic,NA,ĩ,
s,Phonemic,NA,s,
g,Phonemic,NA,g,
ʷ,Phonemic,NA,ʷ,deleted other diacritics pointing to prenasalized consonants like ᵐⁿᵑ
h,Phonemic,NA,h,
i,Phonemic,NA,i,
ã,Phonemic,NA,ã,
õ,Phonemic,NA,õ,
d,Phonemic,NA,d,
w,Phonemic,NA,w,
n,Phonemic,NA,n,
ũ,Phonemic,NA,ũ,
ɨ̃,Phonemic,NA,ɨ̃,
č,Phonemic,NA,tʃ,
y,Phonemic,NA,j,
š,Phonemic,NA,ʃ,
ʔ,Phonemic,NA,ʔ,
l,Phonemic,NA,l,
