value,transcription,alt_transcription,IPA,Comment
ɨ,Phonemic,NA,ɨ,
p,Phonemic,NA,p,
n,Phonemic,NA,n,
k,Phonemic,NA,k,
a,Phonemic,NA,a,
o,Phonemic,NA,o,
s,Phonemic,NA,s,
w,Phonemic,NA,w,
m,Phonemic,NA,m,
i,Phonemic,NA,i,
r,Phonemic,NA,ɾ,
ʔ,Phonemic,NA,ʔ,
y,Phonemic,NA,j,
h,Phonemic,NA,h,
t,Phonemic,NA,t,
ə,Phonemic,NA,ə,
u,Phonemic,NA,u,
e,Phonemic,NA,e,
ɲ,Phonemic,NA,ɲ,
v,Phonemic,NA,v,
b,Phonemic,NA,b,
č,Phonemic,NA,tʃ,
:,Phonemic,NA,ː,
ʸ,Phonemic,NA,ʸ,
j,Phonemic,NA,j,on a parenthesis
c,Phonemic,NA,c,on a parenthesis
