value,transcription,alt_transcription,IPA,Comment
a,Phonemic,NA,a,
p,Phonemic,NA,p,
i,Phonemic,NA,i,
n,Phonemic,NA,n,
s,Phonemic,NA,s,
k,Phonemic,NA,k,
o,Phonemic,NA,o,
h,Phonemic,NA,h,
ɬ,Phonemic,NA,ɬ,
y,Phonemic,NA,j,
m,Phonemic,NA,m,
t,Phonemic,NA,t,
l,Phonemic,NA,l,
e,Phonemic,NA,e,
w,Phonemic,NA,w,
ŋ,Phonemic,NA,ŋ,
u,Phonemic,NA,u,
r,Phonemic,NA,ɾ,loan words from spanish like oro (gold)
ɣ,Phonemic,NA,ɣ,
d,Phonemic,NA,d,weekdays in spanish
v,Phonemic,NA,v,jueves (thursday) in spanish
b,Phonemic,NA,b,
I,Phonemic,NA,i,god
ʔ,Phonemic,NA,ʔ,
