value,transcription,alt_transcription,IPA,Comment
w,Phonemic,NA,w,
e,Phonemic,NA,e,
n,Phonemic,NA,n,
h,Phonemic,NA,h,
u,Phonemic,NA,u,
ɨ,Phonemic,NA,ɨ,
ž,Phonemic,NA,ʒ,
k,Phonemic,NA,k,
a,Phonemic,NA,a,
t,Phonemic,NA,t,
m,Phonemic,NA,m,
s,Phonemic,NA,s,
p,Phonemic,NA,p,
ɣ,Phonemic,NA,ɣ,
l,Phonemic,NA,l,
i,Phonemic,NA,i,
ʸ,Phonemic,NA,ʸ,
ã,Phonemic,NA,ã,
y,Phonemic,NA,j,
r,Phonemic,NA,ɾ,http://www.linguistics.berkeley.edu/~saphon/en/inv/Waura.html
ɨ̃,Phonemic,NA,ɨ̃,
c̷,Phonemic,NA,ts,
ĩ,Phonemic,NA,ĩ,
ẽ,Phonemic,NA,ẽ,
ũ,Phonemic,NA,ũ,
