value,transcription,alt_transcription,IPA,Comment
m,Phonemic,NA,m,
r,Phonemic,NA,ɾ,http://www.linguistics.berkeley.edu/~saphon/en/inv/Yanomami.html
a,Phonemic,NA,a,
ɨ,Phonemic,NA,ɨ,
w,Phonemic,NA,w,
i,Phonemic,NA,i,
k,Phonemic,NA,k,
n,Phonemic,NA,n,
o,Phonemic,NA,o,
t,Phonemic,NA,t,
e,Phonemic,NA,e,
h,Phonemic,NA,h,
p,Phonemic,NA,p,
š,Phonemic,NA,ʃ,
u,Phonemic,NA,u,
ə,Phonemic,NA,ə,
õ,Phonemic,NA,õ,
ʰ,Phonemic,NA,ʰ,
y,Phonemic,NA,j,
s,Phonemic,NA,s,
ã,Phonemic,NA,ã,
v,Phonemic,NA,v,
ũ,Phonemic,NA,ũ,
ɨ̃,Phonemic,NA,ɨ̃,
x,Phonemic,NA,x,
ẽ,Phonemic,NA,ẽ,
ĩ,Phonemic,NA,ĩ,
ə̃,Phonemic,NA,ə̃,
