value,transcription,alt_transcription,IPA,Comment
δ,Phonemic,NA,,
a,Phonemic,NA,,
ŋ,Phonemic,NA,,
.,Phonemic,NA,,
1,Phonemic,NA,,
n,Phonemic,NA,,
3,Phonemic,NA,,
2,Phonemic,NA,,
k,Phonemic,NA,,
h,Phonemic,NA,,
:,Phonemic,NA,,
i,Phonemic,NA,,
 ,Phonemic,NA,,
s,Phonemic,NA,,
I,Phonemic,NA,,
5,Phonemic,NA,,
t,Phonemic,NA,,
ɔ,Phonemic,NA,,
c,Phonemic,NA,,
ʔ,Phonemic,NA,,
d,Phonemic,NA,,
4,Phonemic,NA,,
ɛ,Phonemic,NA,,
o,Phonemic,NA,,
(,Phonemic,NA,,
p,Phonemic,NA,,
),Phonemic,NA,,
j,Phonemic,NA,,
ϑ,Phonemic,NA,,
e,Phonemic,NA,,
0,Phonemic,NA,,
b,Phonemic,NA,,
u,Phonemic,NA,,
l,Phonemic,NA,,
ń,Phonemic,NA,,
m,Phonemic,NA,,
ə,Phonemic,NA,,
ś,Phonemic,NA,,
ʒ,Phonemic,NA,,
f,Phonemic,NA,,
ɨ,Phonemic,NA,,
v,Phonemic,NA,,
y,Phonemic,NA,,
w,Phonemic,NA,,
],Phonemic,NA,,
q,Phonemic,NA,,
