value,transcription,alt_transcription,IPA,Comment
s,phonetic,NA,,
ə,phonetic,NA,,
n,phonetic,NA,,
.,phonetic,NA,,
5,phonetic,NA,,
h,phonetic,NA,,
ɔ,phonetic,NA,,
t,phonetic,NA,,
3,phonetic,NA,,
 ,phonetic,NA,,
w,phonetic,NA,,
a,phonetic,NA,,
ŋ,phonetic,NA,,
1,phonetic,NA,,
i,phonetic,NA,,
ć,phonetic,NA,,
u,phonetic,NA,,
p,phonetic,NA,,
k,phonetic,NA,,
ɣ,phonetic,NA,,
e,phonetic,NA,,
j,phonetic,NA,,
o,phonetic,NA,,
l,phonetic,NA,,
m,phonetic,NA,,
0,phonetic,NA,,
ʔ,phonetic,NA,,
ϑ,phonetic,NA,,
ç,phonetic,NA,,
c,phonetic,NA,,
x,phonetic,NA,,
ń,phonetic,NA,,
f,phonetic,NA,,
d,phonetic,NA,,
ɨ,phonetic,NA,,
2,phonetic,NA,,
4,phonetic,NA,,
(,phonetic,NA,,
),phonetic,NA,,
g,phonetic,NA,,
