value,transcription,alt_transcription,IPA,Comment
[,Phonemic,NA,,
t,Phonemic,NA,,
æ,Phonemic,NA,,
m,Phonemic,NA,,
ɑ,Phonemic,NA,,
],Phonemic,NA,,
-,Phonemic,NA,,
k,Phonemic,NA,,
r,Phonemic,NA,,
d,Phonemic,NA,,
n,Phonemic,NA,,
b,Phonemic,NA,,
e,Phonemic,NA,,
p,Phonemic,NA,,
y,Phonemic,NA,,
 ,Phonemic,NA,,
s,Phonemic,NA,,
v,Phonemic,NA,,
q,Phonemic,NA,,
z,Phonemic,NA,,
š,Phonemic,NA,,
o,Phonemic,NA,,
u,Phonemic,NA,,
ʔ,Phonemic,NA,,
x,Phonemic,NA,,
i,Phonemic,NA,,
ǰ,Phonemic,NA,,
l,Phonemic,NA,,
f,Phonemic,NA,,
č,Phonemic,NA,,
/,Phonemic,NA,,
h,Phonemic,NA,,
g,Phonemic,NA,,
~,Phonemic,NA,,
a,Phonemic,NA,,
(,Phonemic,NA,,
),Phonemic,NA,,
w,Phonemic,NA,,
ó,Phonemic,NA,,
ž,Phonemic,NA,,
ē,Phonemic,NA,,
ḡ,Phonemic,NA,,
