value,transcription,alt_transcription,IPA,Comment
c,Phonemic,NA,,
a,Phonemic,NA,,
ŋ,Phonemic,NA,,
.,Phonemic,NA,,
1,Phonemic,NA,,
3,Phonemic,NA,,
s,Phonemic,NA,,
 ,Phonemic,NA,,
k,Phonemic,NA,,
o,Phonemic,NA,,
t,Phonemic,NA,,
5,Phonemic,NA,,
ń,Phonemic,NA,,
m,Phonemic,NA,,
u,Phonemic,NA,,
4,Phonemic,NA,,
2,Phonemic,NA,,
p,Phonemic,NA,,
ə,Phonemic,NA,,
i,Phonemic,NA,,
h,Phonemic,NA,,
I,Phonemic,NA,,
j,Phonemic,NA,,
n,Phonemic,NA,,
z,Phonemic,NA,,
l,Phonemic,NA,,
e,Phonemic,NA,,
v,Phonemic,NA,,
ć,Phonemic,NA,,
(,Phonemic,NA,,
ʒ́,Phonemic,NA,,
),Phonemic,NA,,
f,Phonemic,NA,,
ʔ,Phonemic,NA,,
ɣ,Phonemic,NA,,
r,Phonemic,NA,,
ɨ,Phonemic,NA,,
ɛ,Phonemic,NA,,
w,Phonemic,NA,,
ś,Phonemic,NA,,
y,Phonemic,NA,,
b,Phonemic,NA,,
ŋ́,Phonemic,NA,,
