value,transcription,alt_transcription,IPA,Comment
ã,Phonemic,NA,ã,
t,Phonemic,NA,t,
ʰ,Phonemic,NA,ʰ,
e,Phonemic,NA,e,
y,Phonemic,NA,j,
k,Phonemic,NA,k,
ɨ,Phonemic,NA,ɨ,
c̷,Phonemic,NA,ts,
i,Phonemic,NA,i,
a,Phonemic,NA,a,
ɲ,Phonemic,NA,ɲ,
n,Phonemic,NA,n,
ĩ,Phonemic,NA,ĩ,
p,Phonemic,NA,p,
š,Phonemic,NA,ʃ,
β,Phonemic,NA,β,
s,Phonemic,NA,s,
m,Phonemic,NA,m,
ʔ,Phonemic,NA,ʔ,
Φ,Phonemic,NA,ɸ,
ʸ,Phonemic,NA,ʸ,
o,Phonemic,NA,o,
ẽ,Phonemic,NA,ẽ,
g,Phonemic,NA,g,
č,Phonemic,NA,tʃ,
d,Phonemic,NA,d,
r,Phonemic,NA,ɾ,https://en.wikipedia.org/wiki/Cof%C3%A1n_language#Phonology
ɨ̃,Phonemic,NA,ɨ̃,
h,Phonemic,NA,h,
b,Phonemic,NA,b,
ɣ,Phonemic,NA,ɣ,
õ,Phonemic,NA,õ,
d͜z,Phonemic,NA,dz,
z,Phonemic,NA,z,
ǰ,Phonemic,NA,dʒ,https://en.wikipedia.org/wiki/Cof%C3%A1n_language#Phonology
e̷,Phonemic,NA,e,
u,Phonemic,NA,u,
l,Phonemic,NA,l,
