value,transcription,alt_transcription,IPA,Comment
t,phonetic,NA,t,
h,phonetic,NA,h,
ɔ,phonetic,NA,ɔ,
:,phonetic,NA,ː,
j,phonetic,NA,j,
35,phonetic,NA,1
33,phonetic,NA,2,
32,phonetic,NA,3,
31,phonetic,NA,4,
22,phonetic,NA,5,
24,phonetic,NA,6,
243,phonetic,NA,7,
334,phonetic,NA,8,
42,phonetic,NA,9,
424,phonetic,NA,10,
53,phonetic,NA,11,
54,phonetic,NA,12,
s,phonetic,NA,s,
â,phonetic,NA,ɒ,got by comparing words with https://evols.library.manoa.hawaii.edu/bitstream/10524/52449/D04Nguyen2019Cuoi.pdf bark rain ashes
ŋ,phonetic,NA,ŋ,
k,phonetic,NA,k,
r,phonetic,NA,r,
a,phonetic,NA,a,
w,phonetic,NA,w,
e,phonetic,NA,e,
i,phonetic,NA,i,
p,phonetic,NA,p,
u,phonetic,NA,u,
b,phonetic,NA,b,
d,phonetic,NA,d,
ə,phonetic,NA,ə,
m,phonetic,NA,m,
n,phonetic,NA,n,
c,phonetic,NA,c,
ɨ,phonetic,NA,ɨ,
ʔ,phonetic,NA,ʔ,
o,phonetic,NA,o,
l,phonetic,NA,l,
ɛ,phonetic,NA,ɛ,
ń,phonetic,NA,ɲ,gotten by comparing with https://evols.library.manoa.hawaii.edu/bitstream/10524/52449/D04Nguyen2019Cuoi.pdf
v,phonetic,NA,v,
f,phonetic,NA,f,
z,phonetic,NA,z,
ʌ,phonetic,NA,ʌ,
ɣ,phonetic,NA,ɣ,
