value,transcription,alt_transcription,IPA,Comment
w,Phonemic,NA,w,
ə,Phonemic,NA,ə,
ʔ,Phonemic,NA,ʔ,
k,Phonemic,NA,k,
a,Phonemic,NA,a,
n,Phonemic,NA,n,
h,Phonemic,NA,h,
t,Phonemic,NA,t,
d,Phonemic,NA,d,
ɨ,Phonemic,NA,ɨ,
e,Phonemic,NA,e,
m,Phonemic,NA,m,
i,Phonemic,NA,i,
č,Phonemic,NA,tʃ,
y,Phonemic,NA,j,
u,Phonemic,NA,u,
o,Phonemic,NA,o,
ā,Phonemic,NA,aː,
š,Phonemic,NA,ʃ,
ɨ̄,Phonemic,NA,ɨː,
ē,Phonemic,NA,eː,
ī,Phonemic,NA,iː,
ū,Phonemic,NA,uː,
ɲ,Phonemic,NA,ɲ,
ə̄,Phonemic,NA,əː,
ō,Phonemic,NA,oː,
s,Phonemic,NA,s,
