value,transcription,alt_transcription,IPA,Comment
b,Phonemic,NA,b,
a,Phonemic,NA,a,
i,Phonemic,NA,i,
n,Phonemic,NA,n,
ɨ,Phonemic,NA,ɨ,
e,Phonemic,NA,e,
u,Phonemic,NA,u,
p,Phonemic,NA,p,
h,Phonemic,NA,h,
õ,Phonemic,NA,õ,
č,Phonemic,NA,tʃ,
o,Phonemic,NA,o,
w,Phonemic,NA,w,
t,Phonemic,NA,t,
r,Phonemic,NA,ɾ,
ã,Phonemic,NA,ã,
s,Phonemic,NA,s,
ʔ,Phonemic,NA,ʔ,
k,Phonemic,NA,k,
ʰ,Phonemic,NA,ʰ,
d,Phonemic,NA,d,
m,Phonemic,NA,m,
ĩ,Phonemic,NA,ĩ,
ɨ̃,Phonemic,NA,ɨ̃,
y,Phonemic,NA,j,
ẽ,Phonemic,NA,ẽ,
ë,Phonemic,NA,ə,https://en.wikipedia.org/wiki/Eperara_language
ũ,Phonemic,NA,ũ,
r̃,Phonemic,NA,r,
l,Phonemic,NA,l,
g,Phonemic,NA,g,
c,Phonemic,NA,s,only appears on loan word "cigarillo" for tobacco
ŋ,Phonemic,NA,ŋ,
S,Phonemic,NA,s,
j,Phonemic,NA,j,
