value,transcription,alt_transcription,IPA,Comment
m,Phonemic,NA,m,
u,Phonemic,NA,u,
k,Phonemic,NA,k,
ɳ,Phonemic,NA,ɳ,
õ,Phonemic,NA,õ,
a,Phonemic,NA,ɑ,https://en.wikipedia.org/wiki/Mahasu_Pahari
:,Phonemic,NA,ː,
h,Phonemic,NA,h,
ə,Phonemic,NA,ə,
r,Phonemic,NA,r,
ɔ,Phonemic,NA,ɔ,
n,Phonemic,NA,n,
t,Phonemic,NA,t,
l,Phonemic,NA,l,
g,Phonemic,NA,g,
b,Phonemic,NA,b,
e,Phonemic,NA,e,
o,Phonemic,NA,o,
ʈ,Phonemic,NA,ʈ,
ʊ,Phonemic,NA,ʊ,
ö,Phonemic,NA,ö,
w,Phonemic,NA,w,
d,Phonemic,NA,d,
z,Phonemic,NA,z,
ɽ,Phonemic,NA,ɽ,
ɪ,Phonemic,NA,ɪ,
ā,Phonemic,NA,ɑː,
ɖ,Phonemic,NA,ɖ,
i,Phonemic,NA,i,
ʃ,Phonemic,NA,ʃ,
ɭ,Phonemic,NA,ɭ,
ō,Phonemic,NA,oː,
s,Phonemic,NA,s,
ē,Phonemic,NA,eː,
p,Phonemic,NA,p,
ɛ,Phonemic,NA,ɛ,
ɔ̄,Phonemic,NA,ɔː,
à,Phonemic,NA,ɑ,
ɔ̀,Phonemic,NA,ɔ,
ɛ̄,Phonemic,NA,ɛː,
ū,Phonemic,NA,uː,
ì,Phonemic,NA,i,
ĩ,Phonemic,NA,ĩ,
ŋ,Phonemic,NA,ŋ,
c,Phonemic,NA,tʃ,
ī,Phonemic,NA,iː,
j,Phonemic,NA,j,
È,Phonemic,NA,ɛ,
ò,Phonemic,NA,o,
è,Phonemic,NA,e,
ɟ,Phonemic,NA,ɟ,
ʊ̀,Phonemic,NA,ʊ,
ã,Phonemic,NA,ã,
ũ,Phonemic,NA,ũ,
ù,Phonemic,NA,u,
ʊ̃,Phonemic,NA,ʊ̃,
ʊ̄,Phonemic,NA,ʊː,
ñ,Phonemic,NA,ɲ,https://en.wikipedia.org/wiki/%C3%91a_(Indic)
ẽ,Phonemic,NA,ẽ,
ɛ̃,Phonemic,NA,ɛ̃,
f,Phonemic,NA,f,
ɛ̀,Phonemic,NA,ɛ,
