value,transcription,alt_transcription,IPA,Comment
č,Phonemic,NA,tʃ,
ʸ,Phonemic,NA,ʸ,
a,Phonemic,NA,a,
r̃,Phonemic,NA,r,
n,Phonemic,NA,n,
š,Phonemic,NA,ʃ,
p,Phonemic,NA,p,
ə,Phonemic,NA,ə,
t,Phonemic,NA,t,
m,Phonemic,NA,m,
u,Phonemic,NA,u,
y,Phonemic,NA,j,
ü,Phonemic,NA,y,https://en.wikipedia.org/wiki/Mari_language#Phonology
ŋ,Phonemic,NA,ŋ,
l,Phonemic,NA,l,
β,Phonemic,NA,β,
k,Phonemic,NA,k,
i,Phonemic,NA,i,
ɣ,Phonemic,NA,ɣ,
o,Phonemic,NA,o,
ž,Phonemic,NA,ʒ,
e,Phonemic,NA,e,
ð,Phonemic,NA,ð,
s,Phonemic,NA,s,
ö,Phonemic,NA,ø,https://en.wikipedia.org/wiki/Mari_language#Phonology
z,Phonemic,NA,z,
ɲ,Phonemic,NA,ɲ,
b,Phonemic,NA,b,
x,Phonemic,NA,x,
c̷,Phonemic,NA,ts,
Φ,Phonemic,NA,f,https://en.wikipedia.org/wiki/Mari_language#Phonology
ɲ̃,Phonemic,NA,ɲ,
r,Phonemic,NA,ɾ,
k̈,Phonemic,NA,k,
ṳ̈,Phonemic,NA,y,
Y,Phonemic,NA,j,god
