value,transcription,alt_transcription,IPA,Comment
r,CyrillTrans,Phonemic,r,
e,CyrillTrans,Phonemic,e,
č,CyrillTrans,Phonemic,tʃ,
ʼ,CyrillTrans,Phonemic,ʼ,
a,CyrillTrans,Phonemic,a,
ɬ,CyrillTrans,Phonemic,ɬ,
i,CyrillTrans,Phonemic,i,
y,CyrillTrans,Phonemic,j,
x,CyrillTrans,Phonemic,χ,
o,CyrillTrans,Phonemic,o,
b,CyrillTrans,Phonemic,b,
š,CyrillTrans,Phonemic,ʃ,
l,CyrillTrans,Phonemic,l,
d,CyrillTrans,Phonemic,d,
k,CyrillTrans,Phonemic,k,
u,CyrillTrans,Phonemic,u,
ƛ,CyrillTrans,Phonemic,tɬ,
z,CyrillTrans,Phonemic,z,
q,CyrillTrans,Phonemic,q,
m,CyrillTrans,Phonemic,m,
ʕ,CyrillTrans,Phonemic,ʕ,
s,CyrillTrans,Phonemic,s,
n,CyrillTrans,Phonemic,n,
ˤ,CyrillTrans,Phonemic,ˤ,
c,CyrillTrans,Phonemic,ts,
t,CyrillTrans,Phonemic,t,
ħ,CyrillTrans,Phonemic,ħ,
ž,CyrillTrans,Phonemic,ʒ,
g,CyrillTrans,Phonemic,g,
ɣ,CyrillTrans,Phonemic,ʁ,
w,CyrillTrans,Phonemic,v,
ä,CyrillTrans,Phonemic,a,аь not in sources
p,CyrillTrans,Phonemic,p,
ƛ̄,CyrillTrans,Phonemic,tɬː,
h,CyrillTrans,Phonemic,h,
ʷ,CyrillTrans,Phonemic,v,
f,CyrillTrans,Phonemic,f,
x̆,CyrillTrans,Phonemic,χ,хь not in sources
ā,CyrillTrans,Phonemic,aː,
