value,transcription,alt_transcription,IPA,Comment
d,CyrillTrans,Phonemic,,
i,CyrillTrans,Phonemic,,
b,CyrillTrans,Phonemic,,
k̄,CyrillTrans,Phonemic,,
u,CyrillTrans,Phonemic,,
s,CyrillTrans,Phonemic,,
k,CyrillTrans,Phonemic,,
n,CyrillTrans,Phonemic,,
 ,CyrillTrans,Phonemic,,
a,CyrillTrans,Phonemic,,
p,CyrillTrans,Phonemic,,
’,CyrillTrans,Phonemic,,
g,CyrillTrans,Phonemic,,
ʼ,CyrillTrans,Phonemic,,
w,CyrillTrans,Phonemic,,
m,CyrillTrans,Phonemic,,
x̌,CyrillTrans,Phonemic,,
e,CyrillTrans,Phonemic,,
ɣ,CyrillTrans,Phonemic,,
r,CyrillTrans,Phonemic,,
l,CyrillTrans,Phonemic,,
h,CyrillTrans,Phonemic,,
y,CyrillTrans,Phonemic,,
š,CyrillTrans,Phonemic,,
ˤ,CyrillTrans,Phonemic,,
x,CyrillTrans,Phonemic,,
t,CyrillTrans,Phonemic,,
ž,CyrillTrans,Phonemic,,
c,CyrillTrans,Phonemic,,
č,CyrillTrans,Phonemic,,
q,CyrillTrans,Phonemic,,
ʷ,CyrillTrans,Phonemic,,
č̄,CyrillTrans,Phonemic,,
f,CyrillTrans,Phonemic,,
c̄,CyrillTrans,Phonemic,,
z,CyrillTrans,Phonemic,,
(,CyrillTrans,Phonemic,,
),CyrillTrans,Phonemic,,
s̄,CyrillTrans,Phonemic,,
ʔ,CyrillTrans,Phonemic,,
o,CyrillTrans,Phonemic,,
q̄,CyrillTrans,Phonemic,,
ʲ,CyrillTrans,Phonemic,,
v,CyrillTrans,Phonemic,,
t̄,CyrillTrans,Phonemic,,
ʕ,CyrillTrans,Phonemic,,
ɨ,CyrillTrans,Phonemic,,
",",CyrillTrans,Phonemic,,
p̄,CyrillTrans,Phonemic,,
š̄,CyrillTrans,Phonemic,,
