value,transcription,alt_transcription,IPA,Comment
j,Phonemic,NA,,
u,Phonemic,NA,,
t,Phonemic,NA,,
.,Phonemic,NA,,
1,Phonemic,NA,,
l,Phonemic,NA,,
ɛ,Phonemic,NA,,
:,Phonemic,NA,,
w,Phonemic,NA,,
5,Phonemic,NA,,
ʔ,Phonemic,NA,,
ɔ,Phonemic,NA,,
ŋ,Phonemic,NA,,
2,Phonemic,NA,,
c,Phonemic,NA,,
p,Phonemic,NA,,
s,Phonemic,NA,,
 ,Phonemic,NA,,
a,Phonemic,NA,,
k,Phonemic,NA,,
h,Phonemic,NA,,
n,Phonemic,NA,,
3,Phonemic,NA,,
-,Phonemic,NA,,
i,Phonemic,NA,,
(,Phonemic,NA,,
P,Phonemic,NA,,
),Phonemic,NA,,
6,Phonemic,NA,,
ə,Phonemic,NA,,
4,Phonemic,NA,,
e,Phonemic,NA,,
ɨ,Phonemic,NA,,
b,Phonemic,NA,,
m,Phonemic,NA,,
x,Phonemic,NA,,
o,Phonemic,NA,,
=,Phonemic,NA,,
L,Phonemic,NA,,
r,Phonemic,NA,,
N,Phonemic,NA,,
B,Phonemic,NA,,
?,Phonemic,NA,,
